rating,zone,degrees,start_time,morning_afternoon
2,2,23,9:15,morning
2,2,23,9:15,morning
3,2,23,9:15,morning
3,2,23,9:15,morning
3,2,23,9:15,morning
2.8,2,23,9:15,morning
2.7,2,23,9:15,morning
3,2,23,9:15,morning
2.6,2,23,9:15,morning
2,2,23,9:15,morning
3,2,23,9:15,morning
3,2,23,9:15,morning
2.7,3,23,9:15,morning
1.2,3,23,9:15,morning
3,3,23,9:15,morning
3,3,23,9:15,morning
3,3,23,9:15,morning
3,3,23,9:15,morning
3,2,20,10:00,morning
1,2,20,10:00,morning
2.5,2,20,10:00,morning
3,2,20,10:00,morning
3,2,20,10:00,morning
1.6,2,20,10:00,morning
1.6,2,20,10:00,morning
1.2,2,20,10:00,morning
1.5,2,20,10:00,morning
2,3,20,10:00,morning
1.5,3,20,10:00,morning
1,3,20,10:00,morning
2.5,3,20,10:00,morning
1,3,20,10:00,morning
1,3,20,10:00,morning
1,3,20,10:00,morning
1.5,3,20,10:00,morning
2,2,24,10:42,morning
2,2,24,10:42,morning
2.5,2,24,10:42,morning
2.5,2,24,10:42,morning
3,2,24,10:42,morning
2,2,24,10:42,morning
2,2,24,10:42,morning
1.5,2,24,10:42,morning
2,2,24,10:42,morning
3,2,24,10:42,morning
2,2,24,10:42,morning
3,3,24,10:42,morning
1.5,3,24,10:42,morning
2,3,24,10:42,morning
3,3,24,10:42,morning
3,3,24,10:42,morning
3,3,24,10:42,morning
2.5,3,24,10:42,morning
3,2,21,12:04,morning
1,2,21,12:04,morning
2,2,21,12:04,morning
3,2,21,12:04,morning
1,2,21,12:04,morning
2,2,21,12:04,morning
1,2,21,12:04,morning
1,3,21,12:04,morning
1,3,21,12:04,morning
1,3,21,12:04,morning
1.5,3,21,12:04,morning
1.75,3,21,12:04,morning
1,3,21,12:04,morning
1,3,21,12:04,morning
3,2,22,12:53,morning
2,2,22,12:53,morning
2.5,2,22,12:53,morning
2.7,2,22,12:53,morning
3,2,22,12:53,morning
3,2,22,12:53,morning
3,2,22,12:53,morning
3,2,22,12:53,morning
3,2,22,12:53,morning
3,2,22,12:53,morning
2.7,3,22,12:53,morning
1,3,22,12:53,morning
1.9,3,22,12:53,morning
1.5,3,22,12:53,morning
2,3,22,12:53,morning
2,3,22,12:53,morning
2.5,3,22,12:53,morning
2.5,3,22,12:53,morning
2,3,22,12:53,morning
2,2,20,13:55,afternoon
1,2,20,13:55,afternoon
1,2,20,13:55,afternoon
2,2,20,13:55,afternoon
3,2,20,13:55,afternoon
3,2,20,13:55,afternoon
2.8,2,20,13:55,afternoon
3,2,20,13:55,afternoon
1,2,20,13:55,afternoon
2,2,20,13:55,afternoon
3,3,20,13:55,afternoon
1.2,3,20,13:55,afternoon
1,3,20,13:55,afternoon
1,3,20,13:55,afternoon
1.5,3,20,13:55,afternoon
1.5,3,20,13:55,afternoon
1.2,3,20,13:55,afternoon
1,3,20,13:55,afternoon
2,2,23,14:36,afternoon
3,2,23,14:36,afternoon
2.5,2,23,14:36,afternoon
2,2,23,14:36,afternoon
3,2,23,14:36,afternoon
3,2,23,14:36,afternoon
3,2,23,14:36,afternoon
2,2,23,14:36,afternoon
3,2,23,14:36,afternoon
3,2,23,14:36,afternoon
3,3,23,14:36,afternoon
3,3,23,14:36,afternoon
3,3,23,14:36,afternoon
3,3,23,14:36,afternoon
3,3,23,14:36,afternoon
3,3,23,14:36,afternoon
2,3,23,14:36,afternoon
2.05,3,23,14:36,afternoon
3,2,22,15:18,afternoon
3,2,22,15:18,afternoon
2.25,2,22,15:18,afternoon
3,2,22,15:18,afternoon
3,2,22,15:18,afternoon
3,2,22,15:18,afternoon
3,2,22,15:18,afternoon
3,2,22,15:18,afternoon
3,3,22,15:18,afternoon
1,3,22,15:18,afternoon
1.7,3,22,15:18,afternoon
2,3,22,15:18,afternoon
3,3,22,15:18,afternoon
3,3,22,15:18,afternoon
2,3,22,15:18,afternoon
1.5,2,24,15:55,afternoon
2.5,2,24,15:55,afternoon
1.5,2,24,15:55,afternoon
3,2,24,15:55,afternoon
1,2,24,15:55,afternoon
1.5,2,24,15:55,afternoon
1,2,24,15:55,afternoon
2,2,24,15:55,afternoon
2,2,24,15:55,afternoon
3,2,24,15:55,afternoon
3,3,24,15:55,afternoon
3,3,24,15:55,afternoon
3,3,24,15:55,afternoon
1.85,3,24,15:55,afternoon
3,3,24,15:55,afternoon
3,3,24,15:55,afternoon
3,3,24,15:55,afternoon
2.5,3,24,15:55,afternoon
3,3,24,15:55,afternoon
2,2,21,16:29,afternoon
1.5,2,21,16:29,afternoon
1.3,2,21,16:29,afternoon
1,2,21,16:29,afternoon
3,2,21,16:29,afternoon
3,2,21,16:29,afternoon
2.5,2,21,16:29,afternoon
2,2,21,16:29,afternoon
2.7,3,21,16:29,afternoon
1,3,21,16:29,afternoon
1,3,21,16:29,afternoon
2,3,21,16:29,afternoon
1,3,21,16:29,afternoon
1.5,3,21,16:29,afternoon
2,3,21,16:29,afternoon
1,3,21,16:29,afternoon
1,3,21,16:29,afternoon
